errorType,difficultyLevel,sentenceCorpus,correctAnswer
To-infinitive,intermediate,My friend always tells {I} to think positively.,{me}
To-infinitive,intermediate,My doctor often tells {I} to balance work and play.,{me}
To-infinitive,intermediate,I told {he} to let me know if he needs any help.,{him}
To-infinitive,intermediate,She told {I} to answer the door.,{me}
To-infinitive,intermediate,He told {I} not to touch his phone.,{me}
To-infinitive,intermediate,He told {I} to use his new shampoo if I wanted to.,{me}
To-infinitive,intermediate,The teacher told {we} to stretch before exercising.,{us}
To-infinitive,advanced,She told {I} to listen for the phone while she was in the shower.,{me}
To-infinitive,advanced,We told {they} to stay home and watch TV while we were out.,{them}
To-infinitive,advanced,I told {they} to wait for you but I am sorry to say that they didn't.,{them}
To-infinitive,advanced,I told {he} to call me if there was any news on his condition.,{him}
To-infinitive,advanced,I told {they} to come to the make-up class during the sixth period but I am not sure if they will.,{them}
To-infinitive,advanced,"After she told {I} to stop eating refined sugar, I did, and now I feel much better.",{me}
To-infinitive,advanced,The doctor told {he} to take his medicine with food.,{him}
To-infinitive,advanced,I told {she} to buy that cheap printer but she didn't listen to me.,{her}
To-infinitive,advanced,She told {I} to send the work to her as soon as I finished it.,{me}
To-infinitive,beginner,I will help {they} to understand.,{them}
To-infinitive,beginner,This will help {they} to improve.,{them}
To-infinitive,beginner,This will help {they} to sleep.,{them}
To-infinitive,beginner,Practice will help {they} to play better.,{them}
To-infinitive,beginner,Could you help {she} to stand?,{her}
To-infinitive,beginner,Help {I} to get through this week!,{me}
To-infinitive,beginner,Coffee can help {we} to stay awake.,{us}
To-infinitive,beginner,This website can help {they} to schedule classes.,{them}
To-infinitive,beginner,Will e-readers help {they} to read better?,{them}
To-infinitive,beginner,It is important to help {they} to succeed.,{them}
To-infinitive,intermediate,Eating more vegetables will help {we} to feel better.,{us}
To-infinitive,intermediate,Exercising more will help {we} to lose weight.,{us}
To-infinitive,intermediate,Practicing aikido can help {we} to have more confidence.,{us}
To-infinitive,intermediate,Yoga can help {your} to improve your balance.,{you}
To-infinitive,intermediate,Pain relievers will help {we} to get rid of that headache.,{us}
To-infinitive,intermediate,Quiet background music can help {we} to concentrate.,{us}
To-infinitive,intermediate,Please help {he} to find his cellphone and wallet.,{him}
To-infinitive,intermediate,Please help {I} to make sense of this terrible news.,{me}
To-infinitive,intermediate,We need to help {they} to make better decisions.,{them}
To-infinitive,intermediate,Eating well can help {they} to perform better in school.,{them}
To-infinitive,advanced,"Sometimes it is hard to know what will help {we} to feel better, but certainly eating whole, natural food is a good place to start.",{us}
To-infinitive,advanced,Eating all that junk food will not help {we} to feel any better.,{us}
To-infinitive,advanced,Could you help {I} to book tickets for my summer travel to Europe?,{me}
To-infinitive,advanced,The ideas in this book might help {your} to understand what you are feeling.,{you}
To-infinitive,advanced,We have advice to help {they} to do well on job interviews.,{them}
To-infinitive,advanced,Teachers can help {they} to understand why homework is useful to them.,{them}
To-infinitive,advanced,I will go to Florida soon to help {she} to move to a new home.,{her}
To-infinitive,advanced,So many people help {we} to make this project a great success.,{us}
To-infinitive,advanced,The passenger hopped out of the truck to help {he} to back up.,{him}
To-infinitive,advanced,The company promises to help {they} to feel more secure in their own homes.,{them}
To-infinitive,beginner,"I'd like {they} to help me, please.",{them}
To-infinitive,beginner,I'd like {her} to set the table for dinner.,{her}
To-infinitive,beginner,I'd like {your} to clean your room.,{you}
To-infinitive,beginner,She would like {they} to come with us.,{them}
To-infinitive,beginner,Would you like {I} to help you?,{me}
To-infinitive,beginner,"If you'd like {I} to leave, I will.",{me}
To-infinitive,beginner,What would you like {we} to do?,{us}
To-infinitive,beginner,Would you like {I} to sweep the floor?,{me}
To-infinitive,beginner,When would you like {I} to start?,{me}
To-infinitive,beginner,Where would you like {I} to put this?,{me}
To-infinitive,intermediate,When would you like {we} to arrive?,{us}
To-infinitive,intermediate,Would you like {I} to carry that for you?,{me}
To-infinitive,intermediate,Would you like {I} to show you to your room?,{me}
To-infinitive,intermediate,Would you like {I} to help you prepare dinner?,{me}
To-infinitive,intermediate,How would you like {I} to frame this photo?,{me}
To-infinitive,intermediate,Where would she like {we} to set up the stereo?,{us}
To-infinitive,intermediate,Where would he like {we} to put his luggage?,{us}
To-infinitive,intermediate,Where would you like {they} to watch the movie?,{them}
To-infinitive,intermediate,I would like {we} to do it before dinner.,{us}
To-infinitive,intermediate,She would like {your} to call before you visit.,{you}
To-infinitive,advanced,The police would like {your} to tell the whole story again from the beginning.,{you}
To-infinitive,advanced,She would not like {he} to leave without letting her know.,{him}
To-infinitive,advanced,"I know you would like {I} to visit, but we can't afford the airfare this year.",{me}
To-infinitive,advanced,We'd like {they} to answer the questions on the attached form.,{them}
To-infinitive,advanced,Please check with your supervisor to see if there is anything she would like {your} to do before you leave for the day.,{you}
To-infinitive,advanced,How would you like {they} to set up the chairs for the meeting?,{them}
To-infinitive,advanced,Please tell the workers that she would like {they} to set up the chairs in rows of ten.,{them}
To-infinitive,advanced,What time would she like {we} to schedule her presentation?,{us}
To-infinitive,advanced,I would like {your} to finish your broccoli before you have dessert.,{you}
To-infinitive,advanced,She would like {I} to finish this assignment before I relax.,{me}
To-infinitive,beginner,Shall I teach {they} to dance?,{them}
To-infinitive,beginner,Maybe you can teach {they} to swim.,{them}
To-infinitive,beginner,Can you teach {I} to read Japanese?,{me}
To-infinitive,beginner,I taught {they} to learn from their mistakes.,{them}
To-infinitive,beginner,He taught {she} to write in Chinese.,{her}
To-infinitive,beginner,His father taught {he} to cook.,{him}
To-infinitive,beginner,Will you teach {I} to drive?,{me}
To-infinitive,beginner,He taught {I} to play the guitar.,{me}
To-infinitive,beginner,I wish someone would teach {I} to sing.,{me}
To-infinitive,beginner,Her father taught {she} to play golf.,{her}
To-infinitive,intermediate,Parents teach {they} to be responsible.,{them}
To-infinitive,intermediate,Our job is to teach {they} to think for themselves.,{them}
To-infinitive,intermediate,She taught {they} to be polite.,{them}
To-infinitive,intermediate,The monks teaches {we} to be compassionate.,{us}
To-infinitive,intermediate,Could you please teach {I} to use this website?,{me}
To-infinitive,intermediate,They don't teach {we} to think for ourselves here.,{us}
To-infinitive,intermediate,He taught {I} to drive a car last summer.,{me}
To-infinitive,intermediate,Will you teach {I} to bake bread?,{me}
To-infinitive,intermediate,I can teach {they} to write a research paper.,{them}
To-infinitive,intermediate,No one taught {I} to swim.,{me}
To-infinitive,advanced,"These days, schools don't teach {they} to function in society.",{them}
To-infinitive,advanced,It is important to teach {they} to be kind to one another.,{them}
To-infinitive,advanced,Some parents no longer teach {they} to obey all adults.,{them}
To-infinitive,advanced,"At this school, they teach {they} to get up before dawn every morning.",{them}
To-infinitive,advanced,My mother taught {they} to never sign a contract that I did not read and fully understand.,{them}
To-infinitive,advanced,"She taught {I} to be true, kind, and useful, and to learn.",{me}
To-infinitive,advanced,I tried to teach {they} to answer job interview questions successfully.,{them}
To-infinitive,advanced,She tried to teach {I} to knit but I never really got the hang of it.,{me}
To-infinitive,beginner,Please allow {I} to help.,{me}
To-infinitive,beginner,Will you allow {I} to go?,{me}
To-infinitive,beginner,This will allow {we} to check in online.,{us}
To-infinitive,beginner,Google allows {we} to search the web quickly.,{us}
To-infinitive,beginner,Allow {I} to introduce myself.,{me}
To-infinitive,beginner,My parents will not allow {I} to go.,{me}
To-infinitive,beginner,Please allow {I} to finish my story.,{me}
To-infinitive,beginner,Allow {I} to suggest a restaurant.,{me}
To-infinitive,beginner,Allow {I} to demonstrate.,{me}
To-infinitive,beginner,Will you allow {I} to go with you?,{me}
To-infinitive,intermediate,Allow {I} to escort you.,{me}
To-infinitive,intermediate,This phone allows {they} to make emergency calls for free.,{them}
To-infinitive,intermediate,The rules don't allow {we} to work full-time.,{us}
To-infinitive,intermediate,Why would I allow {they} to use my phone?,{them}
To-infinitive,intermediate,Some websites allow {we} to read the news for free.,{us}
To-infinitive,intermediate,This site will not allow {we} to upload pictures.,{us}
To-infinitive,intermediate,Facebook allows {they} to personalize their profiles.,{them}
To-infinitive,intermediate,The belt allows {we} to adjust the fit.,{us}
To-infinitive,intermediate,Solar panels will allow {we} to save money on electricity.,{us}
To-infinitive,intermediate,Certain kinds of neural cells allow {we} to ignore pain.,{us}
To-infinitive,advanced,The government allows {we} to apply for work permits.,{us}
To-infinitive,advanced,The new immigration bill would allow {I} to stay in the country.,{me}
To-infinitive,advanced,This system allows {I} to monitor all in-coming and out-going payments.,{me}
To-infinitive,advanced,Knowing a second language allows {we} to obtain better paying jobs.,{us}
To-infinitive,advanced,This permit will allow {we} to serve food and drinks in the festival.,{us}
To-infinitive,advanced,The union would not allow {we} to make the announcement.,{us}
To-infinitive,advanced,This research has allowed {we} to develop new treatment methods for various illnesses.,{us}
To-infinitive,advanced,Her computer would not allow {she} to access her files without a password.,{her}
To-infinitive,advanced,The law does not allow {we} to make those kinds of deals anymore.,{us}
To-infinitive,advanced,These findings allow {they} to conclude that there was a high level of sulfur in the steel.,{them}
Present Perfect,beginner,"Has it {for,since} started?",already
Present Perfect,beginner,"Have you done it {for,since}?",already
Present Perfect,beginner,"Have you seen it {for,since}?",already
Present Perfect,beginner,"Have you {for,since} finished?",already
Present Perfect,beginner,"Have you {for,since} eaten?",already
Present Perfect,beginner,"Have you {for,since} seen this DVD?",already
Present Perfect,beginner,"Has it {for,since} been repaired?",already
Present Perfect,beginner,"Has it {for,since} been finished?",already
Present Perfect,beginner,"She has {for,since} gotten a job.",already
Present Perfect,beginner,"She has {for,since} arrived.",already
Present Perfect,beginner,"Has the university {for,since} opened?",already
Present Perfect,beginner,"Has registration {for,since} started?",already
Present Perfect,intermediate,"Have you {for,since} read today's paper?",already
Present Perfect,intermediate,"Have you {for,since} done the dishes?",already
Present Perfect,intermediate,"Has he {for,since} finished the laundry?",already
Present Perfect,intermediate,"Has he {for,since} cleaned the apartment?",already
Present Perfect,intermediate,"Have they {for,since} made the announcement?",already
Present Perfect,intermediate,"Have you {for,since} picked up the bike?",already
Present Perfect,intermediate,"They have {for,since} seen this one.",already
Present Perfect,intermediate,"They have {for,since} been to the store.",already
Present Perfect,intermediate,"He has {for,since} finished his big project.",already
Present Perfect,intermediate,"She has {for,since} received her letter.",already
Present Perfect,intermediate,"My idea has {for,since} been approved by the teacher.",already
Present Perfect,intermediate,"He has {for,since} opened all his birthday gifts.",already
Present Perfect,intermediate,"They have {for,since} announced the new award winners.",already
Present Perfect,intermediate,"He has {for,since} won several games.",already
Present Perfect,intermediate,"She has {for,since} been named as the class president.",already
Present Perfect,intermediate,"They have {for,since} joined several clubs.",already
Present Perfect,intermediate,"The children have {for,since} gone to sleep.",already
Present Perfect,beginner,"Have you finished {just,for,since}?",yet
Present Perfect,beginner,"Have you eaten {just,for,since}?",yet
Present Perfect,beginner,"Have you done it {just,for,since}?",yet
Present Perfect,beginner,"They haven't arrived {just,for,since}.",yet
Present Perfect,beginner,"I haven't told them {just,for,since}.",yet
Present Perfect,beginner,"Have you started classes {just,for,since}?",yet
Present Perfect,beginner,"We haven't eaten {just,for,since}.",yet
Present Perfect,beginner,"They haven't started {just,for,since}.",yet
Present Perfect,beginner,"The class hasn't finished {just,for,since}.",yet
Present Perfect,beginner,"I haven't mailed it {just,for,since}.",yet
Present Perfect,beginner,"They haven't left {just,for,since}.",yet
Present Perfect,beginner,"He hasn't returned {just,for,since}.",yet
Present Perfect,beginner,"She hasn't come home {just,for,since}.",yet
Present Perfect,beginner,"It hasn't been repaired {just,for,since}.",yet
Present Perfect,beginner,"We haven't met {just,for,since}.",yet
Present Perfect,beginner,"I haven't written it {just,for,since}.",yet
Present Perfect,intermediate,"Have you seen this movie {just,for,since}?",yet
Present Perfect,intermediate,"The Ministry hasn't told us {just,for,since}.",yet
Present Perfect,intermediate,"Have you started your new job {just,for,since}?",yet
Present Perfect,intermediate,"Have you had any interviews {just,for,since}?",yet
Present Perfect,intermediate,"Have you done your homework {just,for,since}?",yet
Present Perfect,intermediate,"Have you finished your work {just,for,since}?",yet
Present Perfect,intermediate,"The grant hasn't been given out {just,for,since}.",yet
Present Perfect,intermediate,"The project hasn't been finished {just,for,since}.",yet
Present Perfect,intermediate,"We haven't been introduced {just,for,since}.",yet
Present Perfect,intermediate,"The staff haven't opened the office {just,for,since}.",yet
Present Perfect,advanced,"The manager hasn't told the employees about it {just,for,since}.",yet
Present Perfect,advanced,"The newspapers haven't released the victim's name {just,for,since}.",yet
Present Perfect,advanced,"The court hasn't decided the punishment {just,for,since}.",yet
Present Perfect,advanced,"The registration office hasn't released the class lists {just,for,since}.",yet
Present Perfect,beginner,"Have you {for,since} finished?",just
Present Perfect,beginner,"Have you {for,since} arrived?",just
Present Perfect,beginner,"Has he {for,since} started?",just
Present Perfect,beginner,"Has the movie {for,since} started?",just
Present Perfect,beginner,"He has {for,since} left.",just
Present Perfect,beginner,"We have {for,since} begun.",just
Present Perfect,beginner,"She's {for,since} sent me a letter.",just
Present Perfect,beginner,"They have {for,since} come in.",just
Present Perfect,beginner,"Have you {for,since} had lunch?",just
Present Perfect,beginner,"Have you {for,since} arrived?",just
Present Perfect,beginner,"Have you {for,since} started?",just
Present Perfect,intermediate,"Have you {for,since} finished your work?",just
Present Perfect,intermediate,"I have {for,since} started my new job.",just
Present Perfect,intermediate,"I have {for,since} finished my homework.",just
Present Perfect,intermediate,"I have {for,since} started on my work.",just
Present Perfect,intermediate,"She has {for,since} published a new book.",just
Present Perfect,intermediate,"He has {for,since} broken a world record.",just
Present Perfect,intermediate,"Someone has {for,since} found my phone.",just
Present Perfect,intermediate,"She has {for,since} returned from three years abroad.",just
Present Perfect,intermediate,"They've {for,since} quit smoking.",just
Present Perfect,intermediate,"They've {for,since} asked her to stay another year.",just
Present Perfect,intermediate,"That boy has {for,since} eaten the last sandwich.",just
Present Perfect,advanced,"The father had {for,since} hung the laundry when the rain started.",just
Present Perfect,advanced,"They had {for,since} heard the weather forecast when the snow started.",just
Present Perfect,advanced,"His mother had {for,since} left for work when he awoke.",just
Present Perfect,advanced,"I have {for,since} returned from a wonderful vacation.",just
Present Perfect,advanced,"We had {for,since} finished the DVD when they walked in.",just
Present Perfect,advanced,"We had {for,since} finished dinner when the room started to shake.",just
Present Perfect,advanced,"We had {for,since} finished the test when the bell rang.",just
Present Perfect,beginner,"Have you {for,since} seen a rainbow?",ever
Present Perfect,beginner,"Has he {for,since} called you?",ever
Present Perfect,beginner,"Have they {for,since} apologized?",ever
Present Perfect,beginner,"Have I {for,since} hurt you?",ever
Present Perfect,beginner,"Have I {for,since} lied to you?",ever
Present Perfect,beginner,"Have you {for,since} been in love?",ever
Present Perfect,beginner,"Have you {for,since} written a story?",ever
Present Perfect,beginner,"Have you {for,since} flown a plane?",ever
Present Perfect,beginner,"Have you {for,since} played the guitar?",ever
Present Perfect,intermediate,"Have you {for,since} heard of this person?",ever
Present Perfect,intermediate,"Has he {for,since} said he was sorry?",ever
Present Perfect,intermediate,"Have you {for,since} been alone in a new country?",ever
Present Perfect,intermediate,"Have you {for,since} tried to build a car?",ever
Present Perfect,intermediate,"Have you {for,since} gone to sleep on a train?",ever
Present Perfect,intermediate,"Have you {for,since} read War and Peace?",ever
Present Perfect,beginner,"I have known her {just,ever,since,already,yet} almost twenty years.",for
Present Perfect,beginner,"He has been crying {just,ever,since,already,yet} hours.",for
Present Perfect,beginner,"Neale has been in Canada {just,ever,since,already,yet} two weeks.",for
Present Perfect,beginner,"We've lived in Tokyo {just,ever,since,already,yet} a long time.",for
Present Perfect,beginner,"I have been teaching here {just,ever,since,already,yet} many years.",for
Present Perfect,beginner,"My brother has been unemployed {just,ever,since,already,yet} three months.",for
Present Perfect,beginner,"Dan has been studying in Ottawa {just,ever,since,already,yet} a year.",for
Present Perfect,beginner,"I've been driving {just,ever,since,already,yet} more than 30 years.",for
Present Perfect,beginner,"We've been working on this project {just,ever,since,already,yet} decades.",for
Present Perfect,beginner,"They've been drinking wine {just,ever,since,already,yet} hours.",for
Present Perfect,intermediate,"I have been listening to him complain {just,ever,since,already,yet} years.",for
Present Perfect,intermediate,"She has been a great friend to me {just,ever,since,already,yet} many years.",for
Present Perfect,intermediate,"My brother-in-law has been fighting cancer {just,ever,since,already,yet} many months.",for
Present Perfect,intermediate,"He has been receiving chemotherapy every week {just,ever,since,already,yet} six months.",for
Present Perfect,intermediate,"He has been dieting {just,ever,since,already,yet} weeks but hasn't lost any weight.",for
Present Perfect,intermediate,"We have been doing research together {just,ever,since,already,yet} about ten years.",for
Present Perfect,intermediate,"She's been working here {just,ever,since,already,yet} more than 13 years.",for
Present Perfect,intermediate,"I've been sitting in front of this computer {just,ever,since,already,yet} too many hours.",for
Present Perfect,intermediate,"I've been training in aikido {just,ever,since,already,yet} about seven years.",for
Present Perfect,advanced,"Talks between the various parties over the right of self defense have been the subject of debate {just,ever,since,already,yet} several months.",for
Present Perfect,advanced,"The injured were taken to hospital where they have been {just,ever,since,already,yet} several days.",for
Present Perfect,advanced,"The North Koreans have been making threats {just,ever,since,already,yet} as long as I can remember.",for
Present Perfect,advanced,"He has been the ambassador to China {just,ever,since,already,yet} several years.",for
Present Perfect,advanced,"Wages in many industries have increased {just,ever,since,already,yet} the first time in many years.",for
Present Perfect,advanced,"The NHK English language newscast has been on {just,ever,since,already,yet} 20 minutes.",for
Present Perfect,advanced,"The mountains have been slowly turning over {just,ever,since,already,yet} millions of years.",for
Present Perfect,advanced,"I have been writing sentences {just,ever,since,already,yet} millions of years.",for
Present Perfect,beginner,"It has been raining {just,already,yet,ever} Tuesday.",since
Present Perfect,beginner,"I have been ill {just,already,yet,ever} morning.",since
Present Perfect,beginner,"He has been angry {just,already,yet,ever} the meeting.",since
Present Perfect,beginner,"The door has been locked {just,already,yet,ever} she left.",since
Present Perfect,beginner,"The money has been missing {just,already,yet,ever} he quit.",since
Present Perfect,beginner,"It has been cloudy {just,already,yet,ever} daybreak.",since
Present Perfect,beginner,"She has been sad {just,already,yet,ever} her dog died.",since
Present Perfect,beginner,"He has been crying {just,already,yet,ever} noon.",since
Present Perfect,beginner,"He has been happy {just,already,yet,ever} she returned.",since
Present Perfect,beginner,"I have lived here {just,already,yet,ever} I was five.",since
Present Perfect,beginner,"He's been out of work {just,already,yet,ever} March.",since
Present Perfect,intermediate,"Takeshi has lived in Hokkaido {just,already,yet,ever} October of 2013.",since
Present Perfect,intermediate,"We have been waiting in this line {just,already,yet,ever} 5 o'clock.",since
Present Perfect,intermediate,"She's been reading books {just,already,yet,ever} she was only three years old.",since
Present Perfect,intermediate,"He's been unemployed {just,already,yet,ever} he lost his job in March.",since
Present Perfect,intermediate,"We've known about his illness {just,already,yet,ever} October last year.",since
Present Perfect,intermediate,"Her memory hasn't been the same {just,already,yet,ever} the accident.",since
Present Perfect,intermediate,"She has been depressed {just,already,yet,ever} the baby was born.",since
Present Perfect,intermediate,"They've been celebrating {just,already,yet,ever} they got up this morning.",since
Present Perfect,intermediate,"He has been dieting {just,already,yet,ever} his heart attack last spring.",since
Present Perfect,intermediate,"He's been smoking {just,already,yet,ever} he was a teenager.",since
Present Perfect,intermediate,"I've been juicing my dinner {just,already,yet,ever} I bought that expensive juicer.",since
Present Perfect,intermediate,"They've gotten along so much better {just,already,yet,ever} his mother died.",since
Present Perfect,advanced,"I have been thinking about eating takoyaki {just,already,yet,ever} I saw that commercial on television.",since
Present Perfect,advanced,"She's been watching Korean dramas {just,already,yet,ever} she first discovered them years ago.",since
Present Perfect,advanced,"I've been sleeping in another room {just,already,yet,ever} my husband started snoring.",since
Present Perfect,advanced,"I haven't seen her {just,already,yet,ever} we were in high school together.",since
Present Perfect,advanced,"She hasn't spoken to him {just,already,yet,ever} he said she looked fat in her new dress.",since
Present Perfect,advanced,"They haven't gotten any sleep {just,already,yet,ever} the twins were born.","{since, after}"
Present Perfect,advanced,"Obokata's research has been questioned {just,already,yet,ever} other researchers were unable to duplicate her method for creating STAP cells.","{since, after, when}"
Present Perfect,advanced,"The economy has been slowly recovering {just,already,yet,ever} the earthquake, tsunami and nuclear accident in Fukushima in 2011.","{since,after}"
Present Perfect,advanced,"She hasn't eaten any nuts or shellfish {just,already,yet,ever} she had a terrible allergic reaction when she was a child.","{since, because}"
Present Perfect,advanced,"Deaths of children have decreased {just,already,yet,ever} the government passed new laws for babysitters and daycare centers.","{since,when,after}"
Relative Clauses,beginner,"Here is a list of people {who,what,where,which} I admire.",whom
Relative Clauses,beginner,"Who are the people {who,what,where,which} you love?",whom
Relative Clauses,beginner,"He was the man {who,what,where,which} everyone knew as Jack.",whom
Relative Clauses,beginner,"They are people {who,what,where,which} we care about.",whom
Relative Clauses,beginner,"What about the people {who,what,where,which} she mentioned?",whom
Relative Clauses,beginner,"Don't forget the people {who,what,where,which} he killed.",whom
Relative Clauses,beginner,"They are holding people {who,what,where,which} they know to be innocent.",whom
Relative Clauses,beginner,"He stayed with people {who,what,where,which} he didn't know.",whom
Relative Clauses,beginner,"These people {who,what,where,which} you oppose are very powerful.",whom
Relative Clauses,beginner,"I saw all the people {who,what,where,which} I had met online.",whom
Relative Clauses,intermediate,"It is difficult to leave people {who,what,where,which} we have come to love.",whom
Relative Clauses,intermediate,"She was taken away from people {who,what,where,which} she had known all her life.",whom
Relative Clauses,intermediate,"He had links to people {who,what,where,which} the police had been investigating.",whom
Relative Clauses,intermediate,"He is one of those people {who,what,where,which} it is easy to talk to.",whom
Relative Clauses,intermediate,"Are those people {who,what,where,which} I saw at your house your friends?",whom
Relative Clauses,intermediate,"Bullies inflict pain on people {who,what,where,which} they see as weak.",whom
Relative Clauses,intermediate,"We sometimes imitate people {who,what,where,which} we admire.",whom
Relative Clauses,intermediate,"The next person {who,what,where,which} I wish to introduce is my mother.",whom
Relative Clauses,intermediate,"The people {who,what,where,which} I met were kind.",whom
Relative Clauses,intermediate,"He stole millions of dollars from people {who,what,where,which} he had defrauded.",whom
Relative Clauses,advanced,"The elected members of government have a responsibility to people {who,what,where,which} they represent.",whom
Relative Clauses,advanced,"Why should we be forced to hire people {who,what,where,which} we know have a poor work history?",whom
Relative Clauses,advanced,"The majority of people {who,what,where,which} I knew in the US never had guns.",whom
Relative Clauses,advanced,"People {who,what,where,which} he trusts are not in the banking or insurance industries.",whom
Relative Clauses,advanced,"The people {who,what,where,which} joined this union are waiting for the ruling on the lawsuit.",whom
Relative Clauses,advanced,"She had excellent evaluations from people {who,what,where,which} she had supervised.",whom
Relative Clauses,advanced,"She often seeks out the very same people {who,what,where,which} we usually try to avoid.",whom
Relative Clauses,advanced,"People {who,what,where,which} he had barely met were coming up to congratulate him on his success.",whom
Relative Clauses,advanced,"The government program helps the people {who,what,where,which} you insist need support.",whom
Relative Clauses,beginner,"He is a man {who,what,where,which} I trust.",whom
Relative Clauses,beginner,"He is a man {who,what,where,which} I love.",whom
Relative Clauses,beginner,"He is the man {who,what,where,which} I saw.",whom
Relative Clauses,beginner,"The man {who,what,where,which} I saw was tall.",whom
Relative Clauses,beginner,"The men {who,what,where,which} I saw ran away.",whom
Relative Clauses,beginner,"The man {who,what,where,which} I heard sounded Japanese.",whom
Relative Clauses,beginner,"The man {who,what,where,which} I called was not in.",whom
