sub_type,difficulty_level,sentence_corpus,correct_answers,error_words
4,3,The doctor told {} to take his medicine with food.,{him},{he}
4,3,I told {} to buy that cheap printer but she didn't listen to me.,{her},{she}
4,3,She told {} to send the work to her as soon as I finished it.,{me},{I}
4,1,I will help {} to understand.,{them},{they}
4,1,This will help {} to improve.,{them},{they}
4,1,This will help {} to sleep.,{them},{they}
4,1,Practice will help {} to play better.,{them},{they}
4,1,Could you help {} to stand?,{her},{she}
4,1,Help {} to get through this week!,{me},{I}
4,1,Coffee can help {} to stay awake.,{us},{we}
4,1,This website can help {} to schedule classes.,{them},{they}
4,1,Will e-readers help {} to read better?,{them},{they}
4,1,It is important to help {} to succeed.,{them},{they}
4,2,Eating more vegetables will help {} to feel better.,{us},{we}
4,2,Exercising more will help {} to lose weight.,{us},{we}
4,2,Practicing aikido can help {} to have more confidence.,{us},{we}
4,2,Yoga can help {} to improve your balance.,{you},{your}
4,2,Pain relievers will help {} to get rid of that headache.,{us},{we}
4,2,Quiet background music can help {} to concentrate.,{us},{we}
4,2,Please help {} to find his cellphone and wallet.,{him},{he}
4,2,Please help {} to make sense of this terrible news.,{me},{I}
4,2,We need to help {} to make better decisions.,{them},{they}
4,2,Eating well can help {} to perform better in school.,{them},{they}
4,3,"Sometimes it is hard to know what will help {} to feel better, but certainly eating whole, natural food is a good place to start.",{us},{we}
4,3,Eating all that junk food will not help {} to feel any better.,{us},{we}
4,3,Could you help {} to book tickets for my summer travel to Europe?,{me},{I}
4,3,The ideas in this book might help {} to understand what you are feeling.,{you},{your}
4,3,We have advice to help {} to do well on job interviews.,{them},{they}
4,3,Teachers can help {} to understand why homework is useful to them.,{them},{they}
4,3,I will go to Florida soon to help {} to move to a new home.,{her},{she}
4,3,So many people help {} to make this project a great success.,{us},{we}
4,3,The passenger hopped out of the truck to help {} to back up.,{him},{he}
4,3,The company promises to help {} to feel more secure in their own homes.,{them},{they}
4,1,"I'd like {} to help me, please.",{them},{they}
4,1,I'd like {} to set the table for dinner.,{her},{her}
4,1,I'd like {} to clean your room.,{you},{your}
4,1,She would like {} to come with us.,{them},{they}
4,1,Would you like {} to help you?,{me},{I}
4,1,"If you'd like {} to leave, I will.",{me},{I}
4,1,What would you like {} to do?,{us},{we}
4,1,Would you like {} to sweep the floor?,{me},{I}
4,1,When would you like {} to start?,{me},{I}
4,1,Where would you like {} to put this?,{me},{I}
4,2,When would you like {} to arrive?,{us},{we}
4,2,Would you like {} to carry that for you?,{me},{I}
4,2,Would you like {} to show you to your room?,{me},{I}
4,2,Would you like {} to help you prepare dinner?,{me},{I}
4,2,How would you like {} to frame this photo?,{me},{I}
4,2,Where would she like {} to set up the stereo?,{us},{we}
4,2,Where would he like {} to put his luggage?,{us},{we}
4,2,Where would you like {} to watch the movie?,{them},{they}
4,2,I would like {} to do it before dinner.,{us},{we}
4,2,She would like {} to call before you visit.,{you},{your}
4,3,The police would like {} to tell the whole story again from the beginning.,{you},{your}
4,3,She would not like {} to leave without letting her know.,{him},{he}
4,3,"I know you would like {} to visit, but we can't afford the airfare this year.",{me},{I}
4,3,We'd like {} to answer the questions on the attached form.,{them},{they}
4,3,Please check with your supervisor to see if there is anything she would like {} to do before you leave for the day.,{you},{your}
4,3,How would you like {} to set up the chairs for the meeting?,{them},{they}
4,3,Please tell the workers that she would like {} to set up the chairs in rows of ten.,{them},{they}
4,3,What time would she like {} to schedule her presentation?,{us},{we}
4,3,I would like {} to finish your broccoli before you have dessert.,{you},{your}
4,3,She would like {} to finish this assignment before I relax.,{me},{I}
4,1,Shall I teach {} to dance?,{them},{they}
4,1,Maybe you can teach {} to swim.,{them},{they}
4,1,Can you teach {} to read Japanese?,{me},{I}
4,1,I taught {} to learn from their mistakes.,{them},{they}
4,1,He taught {} to write in Chinese.,{her},{she}
4,1,His father taught {} to cook.,{him},{he}
4,1,Will you teach {} to drive?,{me},{I}
4,1,He taught {} to play the guitar.,{me},{I}
4,1,I wish someone would teach {} to sing.,{me},{I}
4,1,Her father taught {} to play golf.,{her},{she}
4,2,Parents teach {} to be responsible.,{them},{they}
4,2,Our job is to teach {} to think for themselves.,{them},{they}
4,2,She taught {} to be polite.,{them},{they}
4,2,The monks teaches {} to be compassionate.,{us},{we}
4,2,Could you please teach {} to use this website?,{me},{I}
4,2,They don't teach {} to think for ourselves here.,{us},{we}
4,2,He taught {} to drive a car last summer.,{me},{I}
4,2,Will you teach {} to bake bread?,{me},{I}
4,2,I can teach {} to write a research paper.,{them},{they}
4,2,No one taught {} to swim.,{me},{I}
4,3,"These days, schools don't teach {} to function in society.",{them},{they}
4,3,It is important to teach {} to be kind to one another.,{them},{they}
4,3,Some parents no longer teach {} to obey all adults.,{them},{they}
4,3,"At this school, they teach {} to get up before dawn every morning.",{them},{they}
4,3,My mother taught {} to never sign a contract that I did not read and fully understand.,{them},{they}
4,3,"She taught {} to be true, kind, and useful, and to learn.",{me},{I}
4,3,I tried to teach {} to answer job interview questions successfully.,{them},{they}
4,3,She tried to teach {} to knit but I never really got the hang of it.,{me},{I}
4,1,Please allow {} to help.,{me},{I}
4,1,Will you allow {} to go?,{me},{I}
4,1,This will allow {} to check in online.,{us},{we}
4,1,Google allows {} to search the web quickly.,{us},{we}
4,1,Allow {} to introduce myself.,{me},{I}
4,1,My parents will not allow {} to go.,{me},{I}
4,1,Please allow {} to finish my story.,{me},{I}
4,1,Allow {} to suggest a restaurant.,{me},{I}
4,1,Allow {} to demonstrate.,{me},{I}
4,1,Will you allow {} to go with you?,{me},{I}
4,2,Allow {} to escort you.,{me},{I}
4,2,This phone allows {} to make emergency calls for free.,{them},{they}
4,2,The rules don't allow {} to work full-time.,{us},{we}
4,2,Why would I allow {} to use my phone?,{them},{they}
4,2,Some websites allow {} to read the news for free.,{us},{we}
4,2,This site will not allow {} to upload pictures.,{us},{we}
4,2,Facebook allows {} to personalize their profiles.,{them},{they}
4,2,The belt allows {} to adjust the fit.,{us},{we}
4,2,Solar panels will allow {} to save money on electricity.,{us},{we}
4,2,Certain kinds of neural cells allow {} to ignore pain.,{us},{we}
4,3,The government allows {} to apply for work permits.,{us},{we}
4,3,The new immigration bill would allow {} to stay in the country.,{me},{I}
4,3,This system allows {} to monitor all in-coming and out-going payments.,{me},{I}
4,3,Knowing a second language allows {} to obtain better paying jobs.,{us},{we}
4,3,This permit will allow {} to serve food and drinks in the festival.,{us},{we}
4,3,The union would not allow {} to make the announcement.,{us},{we}
4,3,This research has allowed {} to develop new treatment methods for various illnesses.,{us},{we}
4,3,Her computer would not allow {} to access her files without a password.,{her},{she}
4,3,The law does not allow {} to make those kinds of deals anymore.,{us},{we}
4,3,These findings allow {} to conclude that there was a high level of sulfur in the steel.,{them},{they}
2,1,Has it {} started?,{already},"{for,since}"
2,1,Have you done it {}?,{already},"{for,since}"
2,1,Have you seen it {}?,{already},"{for,since}"
2,1,Have you {} finished?,{already},"{for,since}"
2,1,Have you {} eaten?,{already},"{for,since}"
2,1,Have you {} seen this DVD?,{already},"{for,since}"
2,1,Has it {} been repaired?,{already},"{for,since}"
2,1,Has it {} been finished?,{already},"{for,since}"
2,1,She has {} gotten a job.,{already},"{for,since}"
2,1,She has {} arrived.,{already},"{for,since}"
2,1,Has the university {} opened?,{already},"{for,since}"
2,1,Has registration {} started?,{already},"{for,since}"
2,2,Have you {} read today's paper?,{already},"{for,since}"
2,2,Have you {} done the dishes?,{already},"{for,since}"
2,2,Has he {} finished the laundry?,{already},"{for,since}"
2,2,Has he {} cleaned the apartment?,{already},"{for,since}"
2,2,Have they {} made the announcement?,{already},"{for,since}"
2,2,Have you {} picked up the bike?,{already},"{for,since}"
2,2,They have {} seen this one.,{already},"{for,since}"
2,2,They have {} been to the store.,{already},"{for,since}"
2,2,He has {} finished his big project.,{already},"{for,since}"
2,2,She has {} received her letter.,{already},"{for,since}"
2,2,My idea has {} been approved by the teacher.,{already},"{for,since}"
2,2,He has {} opened all his birthday gifts.,{already},"{for,since}"
2,2,They have {} announced the new award winners.,{already},"{for,since}"
2,2,He has {} won several games.,{already},"{for,since}"
2,2,She has {} been named as the class president.,{already},"{for,since}"
2,2,They have {} joined several clubs.,{already},"{for,since}"
2,2,The children have {} gone to sleep.,{already},"{for,since}"
2,1,Have you finished {}?,{yet},"{just,for,since}"
2,1,Have you eaten {}?,{yet},"{just,for,since}"
2,1,Have you done it {}?,{yet},"{just,for,since}"
2,1,They haven't arrived {}.,{yet},"{just,for,since}"
2,1,I haven't told them {}.,{yet},"{just,for,since}"
2,1,Have you started classes {}?,{yet},"{just,for,since}"
2,1,We haven't eaten {}.,{yet},"{just,for,since}"
2,1,They haven't started {}.,{yet},"{just,for,since}"
2,1,The class hasn't finished {}.,{yet},"{just,for,since}"
2,1,I haven't mailed it {}.,{yet},"{just,for,since}"
2,1,They haven't left {}.,{yet},"{just,for,since}"
2,1,He hasn't returned {}.,{yet},"{just,for,since}"
2,1,She hasn't come home {}.,{yet},"{just,for,since}"
2,1,It hasn't been repaired {}.,{yet},"{just,for,since}"
2,1,We haven't met {}.,{yet},"{just,for,since}"
2,1,I haven't written it {}.,{yet},"{just,for,since}"
2,2,Have you seen this movie {}?,{yet},"{just,for,since}"
2,2,The Ministry hasn't told us {}.,{yet},"{just,for,since}"
2,2,Have you started your new job {}?,{yet},"{just,for,since}"
2,2,Have you had any interviews {}?,{yet},"{just,for,since}"
2,2,Have you done your homework {}?,{yet},"{just,for,since}"
2,2,Have you finished your work {}?,{yet},"{just,for,since}"
2,2,The grant hasn't been given out {}.,{yet},"{just,for,since}"
2,2,The project hasn't been finished {}.,{yet},"{just,for,since}"
2,2,We haven't been introduced {}.,{yet},"{just,for,since}"
2,2,The staff haven't opened the office {}.,{yet},"{just,for,since}"
2,3,The manager hasn't told the employees about it {}.,{yet},"{just,for,since}"
2,3,The newspapers haven't released the victim's name {}.,{yet},"{just,for,since}"
2,3,The court hasn't decided the punishment {}.,{yet},"{just,for,since}"
2,3,The registration office hasn't released the class lists {}.,{yet},"{just,for,since}"
2,1,Have you {} finished?,{just},"{for,since}"
2,1,Have you {} arrived?,{just},"{for,since}"
2,1,Has he {} started?,{just},"{for,since}"
2,1,Has the movie {} started?,{just},"{for,since}"
2,1,He has {} left.,{just},"{for,since}"
2,1,We have {} begun.,{just},"{for,since}"
2,1,She's {} sent me a letter.,{just},"{for,since}"
2,1,They have {} come in.,{just},"{for,since}"
2,1,Have you {} had lunch?,{just},"{for,since}"
2,1,Have you {} arrived?,{just},"{for,since}"
2,1,Have you {} started?,{just},"{for,since}"
2,2,Have you {} finished your work?,{just},"{for,since}"
2,2,I have {} started my new job.,{just},"{for,since}"
2,2,I have {} finished my homework.,{just},"{for,since}"
2,2,I have {} started on my work.,{just},"{for,since}"
2,2,She has {} published a new book.,{just},"{for,since}"
2,2,He has {} broken a world record.,{just},"{for,since}"
2,2,Someone has {} found my phone.,{just},"{for,since}"
2,2,She has {} returned from three years abroad.,{just},"{for,since}"
2,2,They've {} quit smoking.,{just},"{for,since}"
2,2,They've {} asked her to stay another year.,{just},"{for,since}"
2,2,That boy has {} eaten the last sandwich.,{just},"{for,since}"
2,3,The father had {} hung the laundry when the rain started.,{just},"{for,since}"
2,3,They had {} heard the weather forecast when the snow started.,{just},"{for,since}"
2,3,His mother had {} left for work when he awoke.,{just},"{for,since}"
2,3,I have {} returned from a wonderful vacation.,{just},"{for,since}"
2,3,We had {} finished the DVD when they walked in.,{just},"{for,since}"
2,3,We had {} finished dinner when the room started to shake.,{just},"{for,since}"
2,3,We had {} finished the test when the bell rang.,{just},"{for,since}"
2,1,Have you {} seen a rainbow?,{ever},"{for,since}"
2,1,Has he {} called you?,{ever},"{for,since}"
2,1,Have they {} apologized?,{ever},"{for,since}"
2,1,Have I {} hurt you?,{ever},"{for,since}"
2,1,Have I {} lied to you?,{ever},"{for,since}"
2,1,Have you {} been in love?,{ever},"{for,since}"
2,1,Have you {} written a story?,{ever},"{for,since}"
2,1,Have you {} flown a plane?,{ever},"{for,since}"
2,1,Have you {} played the guitar?,{ever},"{for,since}"
2,2,Have you {} heard of this person?,{ever},"{for,since}"
2,2,Has he {} said he was sorry?,{ever},"{for,since}"
2,2,Have you {} been alone in a new country?,{ever},"{for,since}"
2,2,Have you {} tried to build a car?,{ever},"{for,since}"
2,2,Have you {} gone to sleep on a train?,{ever},"{for,since}"
2,2,Have you {} read War and Peace?,{ever},"{for,since}"
2,1,I have known her {} almost twenty years.,{for},"{just,ever,since,already,yet}"
2,1,He has been crying {} hours.,{for},"{just,ever,since,already,yet}"
2,1,Neale has been in Canada {} two weeks.,{for},"{just,ever,since,already,yet}"
2,1,We've lived in Tokyo {} a long time.,{for},"{just,ever,since,already,yet}"
2,1,I have been teaching here {} many years.,{for},"{just,ever,since,already,yet}"
2,1,My brother has been unemployed {} three months.,{for},"{just,ever,since,already,yet}"
2,1,Dan has been studying in Ottawa {} a year.,{for},"{just,ever,since,already,yet}"
2,1,I've been driving {} more than 30 years.,{for},"{just,ever,since,already,yet}"
2,1,We've been working on this project {} decades.,{for},"{just,ever,since,already,yet}"
2,1,They've been drinking wine {} hours.,{for},"{just,ever,since,already,yet}"
2,2,I have been listening to him complain {} years.,{for},"{just,ever,since,already,yet}"
2,2,She has been a great friend to me {} many years.,{for},"{just,ever,since,already,yet}"
2,2,My brother-in-law has been fighting cancer {} many months.,{for},"{just,ever,since,already,yet}"
2,2,He has been receiving chemotherapy every week {} six months.,{for},"{just,ever,since,already,yet}"
2,2,He has been dieting {} weeks but hasn't lost any weight.,{for},"{just,ever,since,already,yet}"
2,2,We have been doing research together {} about ten years.,{for},"{just,ever,since,already,yet}"
2,2,She's been working here {} more than 13 years.,{for},"{just,ever,since,already,yet}"
2,2,I've been sitting in front of this computer {} too many hours.,{for},"{just,ever,since,already,yet}"
2,2,I've been training in aikido {} about seven years.,{for},"{just,ever,since,already,yet}"
2,3,Talks between the various parties over the right of self defense have been the subject of debate {} several months.,{for},"{just,ever,since,already,yet}"
2,3,The injured were taken to hospital where they have been {} several days.,{for},"{just,ever,since,already,yet}"
2,3,The North Koreans have been making threats {} as long as I can remember.,{for},"{just,ever,since,already,yet}"
2,3,He has been the ambassador to China {} several years.,{for},"{just,ever,since,already,yet}"
2,3,Wages in many industries have increased {} the first time in many years.,{for},"{just,ever,since,already,yet}"
2,3,The NHK English language newscast has been on {} 20 minutes.,{for},"{just,ever,since,already,yet}"
2,3,The mountains have been slowly turning over {} millions of years.,{for},"{just,ever,since,already,yet}"
2,3,I have been writing sentences {} millions of years.,{for},"{just,ever,since,already,yet}"
2,1,It has been raining {} Tuesday.,{since},"{just,already,yet,ever}"
2,1,I have been ill {} morning.,{since},"{just,already,yet,ever}"
2,1,He has been angry {} the meeting.,{since},"{just,already,yet,ever}"
2,1,The door has been locked {} she left.,{since},"{just,already,yet,ever}"
2,1,The money has been missing {} he quit.,{since},"{just,already,yet,ever}"
2,1,It has been cloudy {} daybreak.,{since},"{just,already,yet,ever}"
2,1,She has been sad {} her dog died.,{since},"{just,already,yet,ever}"
2,1,He has been crying {} noon.,{since},"{just,already,yet,ever}"
2,1,He has been happy {} she returned.,{since},"{just,already,yet,ever}"
2,1,I have lived here {} I was five.,{since},"{just,already,yet,ever}"
2,1,He's been out of work {} March.,{since},"{just,already,yet,ever}"
2,2,Takeshi has lived in Hokkaido {} October of 2013.,{since},"{just,already,yet,ever}"
2,2,We have been waiting in this line {} 5 o'clock.,{since},"{just,already,yet,ever}"
2,2,She's been reading books {} she was only three years old.,{since},"{just,already,yet,ever}"
2,2,He's been unemployed {} he lost his job in March.,{since},"{just,already,yet,ever}"
2,2,We've known about his illness {} October last year.,{since},"{just,already,yet,ever}"
2,2,Her memory hasn't been the same {} the accident.,{since},"{just,already,yet,ever}"
2,2,She has been depressed {} the baby was born.,{since},"{just,already,yet,ever}"
2,2,They've been celebrating {} they got up this morning.,{since},"{just,already,yet,ever}"
2,2,He has been dieting {} his heart attack last spring.,{since},"{just,already,yet,ever}"
2,2,He's been smoking {} he was a teenager.,{since},"{just,already,yet,ever}"
2,2,I've been juicing my dinner {} I bought that expensive juicer.,{since},"{just,already,yet,ever}"
2,2,They've gotten along so much better {} his mother died.,{since},"{just,already,yet,ever}"
2,3,I have been thinking about eating takoyaki {} I saw that commercial on television.,{since},"{just,already,yet,ever}"
2,3,She's been watching Korean dramas {} she first discovered them years ago.,{since},"{just,already,yet,ever}"
2,3,I've been sleeping in another room {} my husband started snoring.,{since},"{just,already,yet,ever}"
2,3,I haven't seen her {} we were in high school together.,{since},"{just,already,yet,ever}"
2,3,She hasn't spoken to him {} he said she looked fat in her new dress.,{since},"{just,already,yet,ever}"
2,3,They haven't gotten any sleep {} the twins were born.,"{since, after}","{just,already,yet,ever}"
2,3,Obokata's research has been questioned {} other researchers were unable to duplicate her method for creating STAP cells.,"{since, after, when}","{just,already,yet,ever}"
2,3,"The economy has been slowly recovering {} the earthquake, tsunami and nuclear accident in Fukushima in 2011.","{since,after}","{just,already,yet,ever}"
2,3,She hasn't eaten any nuts or shellfish {} she had a terrible allergic reaction when she was a child.,"{since, because}","{just,already,yet,ever}"
2,3,Deaths of children have decreased {} the government passed new laws for babysitters and daycare centers.,"{since,when,after}","{just,already,yet,ever}"
8,1,Here is a list of people {} I admire.,{whom},"{who,what,where,which}"
8,1,Who are the people {} you love?,{whom},"{who,what,where,which}"
8,1,He was the man {} everyone knew as Jack.,{whom},"{who,what,where,which}"
8,1,They are people {} we care about.,{whom},"{who,what,where,which}"
8,1,What about the people {} she mentioned?,{whom},"{who,what,where,which}"
8,1,Don't forget the people {} he killed.,{whom},"{who,what,where,which}"
8,1,They are holding people {} they know to be innocent.,{whom},"{who,what,where,which}"
8,1,He stayed with people {} he didn't know.,{whom},"{who,what,where,which}"
8,1,These people {} you oppose are very powerful.,{whom},"{who,what,where,which}"
8,1,I saw all the people {} I had met online.,{whom},"{who,what,where,which}"
8,2,It is difficult to leave people {} we have come to love.,{whom},"{who,what,where,which}"
8,2,She was taken away from people {} she had known all her life.,{whom},"{who,what,where,which}"
8,2,He had links to people {} the police had been investigating.,{whom},"{who,what,where,which}"
8,2,He is one of those people {} it is easy to talk to.,{whom},"{who,what,where,which}"
8,2,Are those people {} I saw at your house your friends?,{whom},"{who,what,where,which}"
8,2,Bullies inflict pain on people {} they see as weak.,{whom},"{who,what,where,which}"
8,2,We sometimes imitate people {} we admire.,{whom},"{who,what,where,which}"
8,2,The next person {} I wish to introduce is my mother.,{whom},"{who,what,where,which}"
8,2,The people {} I met were kind.,{whom},"{who,what,where,which}"
8,2,He stole millions of dollars from people {} he had defrauded.,{whom},"{who,what,where,which}"
8,3,The elected members of government have a responsibility to people {} they represent.,{whom},"{who,what,where,which}"
8,3,Why should we be forced to hire people {} we know have a poor work history?,{whom},"{who,what,where,which}"
8,3,The majority of people {} I knew in the US never had guns.,{whom},"{who,what,where,which}"
8,3,People {} he trusts are not in the banking or insurance industries.,{whom},"{who,what,where,which}"
8,3,The people {} joined this union are waiting for the ruling on the lawsuit.,{whom},"{who,what,where,which}"
8,3,She had excellent evaluations from people {} she had supervised.,{whom},"{who,what,where,which}"
8,3,She often seeks out the very same people {} we usually try to avoid.,{whom},"{who,what,where,which}"
8,3,People {} he had barely met were coming up to congratulate him on his success.,{whom},"{who,what,where,which}"
8,3,The government program helps the people {} you insist need support.,{whom},"{who,what,where,which}"
8,1,He is a man {} I trust.,{whom},"{who,what,where,which}"
8,1,He is a man {} I love.,{whom},"{who,what,where,which}"
8,1,He is the man {} I saw.,{whom},"{who,what,where,which}"
8,1,The man {} I saw was tall.,{whom},"{who,what,where,which}"
8,1,The men {} I saw ran away.,{whom},"{who,what,where,which}"
8,1,The man {} I heard sounded Japanese.,{whom},"{who,what,where,which}"
8,1,The man {} I called was not in.,{whom},"{who,what,where,which}"
8,1,The man {} I married is Canadian.,{whom},"{who,what,where,which}"
8,1,The man {} she divorced was unkind.,{whom},"{who,what,where,which}"
8,1,The man {} she caught was the murderer.,{whom},"{who,what,where,which}"
8,2,He is a man {} I have trusted with all my investments.,{whom},"{who,what,where,which}"
8,2,"He is the man {} his followers call the ""People's Pope"".",{whom},"{who,what,where,which}"
8,2,There is the man {} he suspected of having an affair with his wife.,{whom},"{who,what,where,which}"
8,2,He became a man {} others feared.,{whom},"{who,what,where,which}"
8,2,He was a man {} no one recognized.,{whom},"{who,what,where,which}"
8,2,The men {} I just met said they were leaving tomorrow.,{whom},"{who,what,where,which}"
8,2,The man {} I borrowed the money from is my uncle.,{whom},"{who,what,where,which}"
8,2,He is the man {} I suspect stole my wallet.,{whom},"{who,what,where,which}"
8,2,He is a man {} I've trusted for many years.,{whom},"{who,what,where,which}"
8,2,There is the man {} I would prefer to hire.,{whom},"{who,what,where,which}"
8,3,He was the man {} everyone thought would be the next president.,{whom},"{who,what,where,which}"
8,3,He was the man {} my niece thought was her soulmate.,{whom},"{who,what,where,which}"
8,3,"He was the man {} everyone called the ""Mad Dog of the Middle East"".",{whom},"{who,what,where,which}"
8,3,The man {} the government arrested was later found innocent.,{whom},"{who,what,where,which}"
8,3,The men {} the reporters followed were famous musicians.,{whom},"{who,what,where,which}"
8,3,The man {} I recognized in the photo came to the classroom.,{whom},"{who,what,where,which}"
8,3,The man {} he had met as a child turned out later to be his real father.,{whom},"{who,what,where,which}"
8,3,A man {} she had never seen before followed her all day.,{whom},"{who,what,where,which}"
8,3,The man {} we admired turned out to be a liar and a fraud.,{whom},"{who,what,where,which}"
8,3,The man {} they regard as their father was not their biological father.,{whom},"{who,what,where,which}"
8,1,She was the woman {} he later married.,{whom},"{who,what,where,which}"
8,1,Clinton is a woman {} many voters like.,{whom},"{who,what,where,which}"
8,1,A woman {} I admire is Angelina Jolie.,{whom},"{who,what,where,which}"
8,1,A woman {} many people like is Kate Middleton.,{whom},"{who,what,where,which}"
8,1,A woman {} many people recognize is Oprah.,{whom},"{who,what,where,which}"
8,1,She is a woman {} many people like.,{whom},"{who,what,where,which}"
8,1,She is a woman {} many people respect.,{whom},"{who,what,where,which}"
8,1,She is a woman {} men often fear.,{whom},"{who,what,where,which}"
8,1,She is a woman {} the children love.,{whom},"{who,what,where,which}"
8,1,She is a woman {} the press adores.,{whom},"{who,what,where,which}"
8,2,She was the woman {} I called my closest friend.,{whom},"{who,what,where,which}"
8,2,She was a very nice woman {} I would like to see again.,{whom},"{who,what,where,which}"
8,2,A woman {} we met befriended my family last year.,{whom},"{who,what,where,which}"
8,2,The woman {} we knew by one name was really someone else.,{whom},"{who,what,where,which}"
8,2,Princess Diana was a woman {} the world watched and admired.,{whom},"{who,what,where,which}"
8,2,Michelle Obama is a woman {} many people respect.,{whom},"{who,what,where,which}"
8,2,Lady Gaga is a woman {} many young people enjoy.,{whom},"{who,what,where,which}"
8,2,She was an attractive and elegant woman {} he later married.,{whom},"{who,what,where,which}"
8,2,She was an unkind woman {} he later divorced.,{whom},"{who,what,where,which}"
8,2,She was a fun-loving woman {} we would all miss greatly.,{whom},"{who,what,where,which}"
